stock,day,sentiment
ACU,2019-04-18 00:00:00+00:00,0.296
ACU,2019-07-19 00:00:00+00:00,0.148
ACU,2019-10-18 00:00:00+00:00,0.21075
ACU,2019-11-14 00:00:00+00:00,0.6124
ACU,2020-04-17 00:00:00+00:00,0.21075
ACUR,2017-02-07 00:00:00+00:00,0.296
ACUR,2017-02-08 00:00:00+00:00,-0.5267
ACUR,2017-02-16 00:00:00+00:00,-0.5267
ACUR,2017-05-18 00:00:00+00:00,0.0
ACUR,2017-08-14 00:00:00+00:00,0.0
ACUR,2018-01-03 00:00:00+00:00,0.6597
ACUR,2019-07-03 00:00:00+00:00,-0.7096
ACUR,2019-09-06 00:00:00+00:00,0.0
ACUR,2019-11-05 00:00:00+00:00,0.0
ACUR,2020-02-10 00:00:00+00:00,0.0
ACWI,2012-07-20 00:00:00+00:00,0.0
ACWI,2012-08-06 00:00:00+00:00,-0.2732
ACWI,2012-08-22 00:00:00+00:00,0.0
ACWI,2013-01-02 00:00:00+00:00,-0.2732
ACWI,2016-08-10 00:00:00+00:00,0.4404
ACWI,2019-08-18 00:00:00+00:00,0.0
ACWI,2019-11-04 00:00:00+00:00,0.0
ACWI,2020-03-03 00:00:00+00:00,0.5574
ACWV,2012-08-06 00:00:00+00:00,-0.2732
ACWV,2012-09-24 00:00:00+00:00,0.0
ACWV,2013-01-01 00:00:00+00:00,0.0
ACWV,2013-01-23 00:00:00+00:00,0.3612
ACWV,2013-02-27 00:00:00+00:00,-0.0772
ACWV,2015-11-03 00:00:00+00:00,-0.2732
ACWV,2016-10-19 00:00:00+00:00,0.5719
ACWV,2018-06-25 00:00:00+00:00,0.0
ACWV,2019-08-18 00:00:00+00:00,0.0
ACWX,2012-08-22 00:00:00+00:00,0.0
ACWX,2013-04-26 00:00:00+00:00,0.0
ACWX,2016-08-29 00:00:00+00:00,0.0
ACWX,2018-04-12 00:00:00+00:00,0.7269
ACWX,2019-09-24 00:00:00+00:00,0.2023
